# Generation Avg_Top100_Model Avg_Top100_Random
1.000000000000000000e+00 3.375682141729132724e-01 3.375682141729132724e-01
2.000000000000000000e+00 7.057524236998807821e-01 4.374664683309699154e-01
3.000000000000000000e+00 8.487512260906533434e-01 5.091580520001370846e-01
4.000000000000000000e+00 8.672597533832689942e-01 5.433336328128256509e-01
5.000000000000000000e+00 8.685723534734836049e-01 5.731850014495423196e-01
6.000000000000000000e+00 8.708455510160227897e-01 5.907948772334763454e-01
7.000000000000000000e+00 8.708455510160227897e-01 6.047859076683113067e-01
8.000000000000000000e+00 8.708455510160226787e-01 6.163038982041418867e-01
9.000000000000000000e+00 8.708455510160229007e-01 6.350950075533667860e-01
1.000000000000000000e+01 8.708455510160226787e-01 6.502192375128629243e-01
1.100000000000000000e+01 8.708455510160227897e-01 6.605502704114570856e-01
1.200000000000000000e+01 8.708455510160227897e-01 6.629414319997850580e-01
1.300000000000000000e+01 8.708455510160227897e-01 6.653247299358773237e-01
1.400000000000000000e+01 8.708455510160229007e-01 6.724628143724222795e-01
1.500000000000000000e+01 8.708455510160227897e-01 6.810053526556265613e-01
1.600000000000000000e+01 8.708455510160227897e-01 6.826075278029659632e-01
